API Endpoint,Data Type,Inferred Purpose
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/events/next/{offset},JSON (Event List),Lists the upcoming events (paginated) from the tournament season.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/cuptrees,JSON (Bracket Data),Gets the cup bracket/tree for the specific season (if applicable).
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/editors,JSON (Editor Info),Retrieves information about the editors or curators for the tournament season.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/player-of-the-season,JSON (Player Award),"Gets information about the player who won ""Player of the Season""."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/player-of-the-season-race,JSON (Award Race Data),"Fetches data on the current race or contenders for ""Player of the Season""."
GET /api/v1/unique-tournament/{utId}/featured-events,JSON (Event List),Lists events that are highlighted or featured for this tournament.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/power-rankings/rounds,JSON (Round List),Gets available rounds for which power rankings are calculated.
GET /api/v1/event/fan-rating/ranking/season/{seasonId},JSON (Fan Ranking),Retrieves fan rating rankings for players or teams for a specific season.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/team-of-the-week/rounds,JSON (Round List),"Lists the rounds for which a ""Team of the Week"" has been selected."
GET /api/v1/sport-video-highlights/country/{countryCode}/unique-tournament/{utId}/season/{seasonId}/rounds,JSON (Round List),Gets available rounds that have video highlights for the specified tournament and country.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/player-statistics/types,JSON (Stat Types),"Lists the types of player statistics available (e.g., goals, assists, tackles)."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/team-statistics/types,JSON (Stat Types),"Lists the types of team statistics available (e.g., goals for, goals against, possession)."
GET /api/v1/unique-tournament/{utId}/media,JSON (Media Links),"Retrieves media content (images, videos) associated with the tournament."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/top-players-per-game/all/overall,JSON (Player Stats),"Gets the top-performing players per game, aggregated for the entire season."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/top-teams/overall,JSON (Team Stats),Fetches the top-performing teams based on overall statistics for the season.
GET /api/v1/translation/description/{id}/language/{language},JSON (Translated Text),"Gets a translated description for a specific term or stat type (e.g., ""Goals"", ""Possession"")."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/team-events/{type},JSON (Event List),"Lists events (matches) for all teams in the season, filtered by type (e.g., total, home, away)."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/team/{teamId}/team-performance-graph-data,JSON (Graph Data),"Fetches data to plot a performance graph (e.g., form, points over time) for a specific team."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/team/{teamId}/goal-distributions,JSON (Distribution Data),"Gets data on how a team's goals are distributed (e.g., by minute, by player)."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/top-players/overall,JSON (Player Stats),Retrieves the overall top players in the tournament based on selected statistics.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/team-of-the-week/{roundId},JSON (Player List),"Gets the ""Team of the Week"" lineup for a specific round."
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/rounds,JSON (Round List),Lists all rounds (matchdays) in the tournament season.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/groups,JSON (Group Data),Fetches information about groups or divisions within the tournament (if applicable).
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/venues,JSON (Venue List),Lists all venues used in the tournament season.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/events/round/{roundNumber},JSON (Event List),Gets all events scheduled for a specific round (matchday) in the season.
GET /api/v1/unique-tournament/{utId}/season/{seasonId}/divisions,JSON (Division Data),Retrieves information about different divisions within the tournament structure.
